,round_epochs,val_loss,val_mean_absolute_error,val_mean_squared_error,loss,mean_absolute_error,mean_squared_error,dropout,hidden_layers,neuron_size,activation,batch_size,epochs,lr
0,3000,0.09335208807404585,0.2160134175865669,0.09335208807404585,0.06058227472259837,0.17612658612808937,0.06058227472259837,0,4,18,<function elu at 0x7f9d0b989ae8>,32,3000,0.0005
1,3000,0.10440114727170449,0.23039915793993343,0.10440114727170449,0.06837824024891449,0.18473482874490446,0.06837824024891449,0,4,24,<function linear at 0x7f9d0b99a048>,8,3000,0.0003
2,6000,0.09654144256368397,0.21186372555616334,0.09654144256368397,0.015139262116182658,0.08447961478920306,0.015139262116182658,0,1,18,<function linear at 0x7f9d0b99a048>,16,6000,0.0005
3,6000,0.09088628152458686,0.2118287305897615,0.09088628152458686,0.04783480733127917,0.153794356271372,0.04783480733127917,0,2,18,<function relu at 0x7f9d0b989d08>,8,6000,0.0001
4,3000,0.10402176048107974,0.21737472689527226,0.10402176048107974,0.006694397395003145,0.055744339879286495,0.006694397395003145,0,4,32,<function elu at 0x7f9d0b989ae8>,4,3000,0.0005
5,6000,0.09445559444624609,0.20219302001431233,0.09445559444624609,0.009193821680747857,0.0686265029644562,0.009193821680747857,0,2,24,<function relu at 0x7f9d0b989d08>,8,6000,0.0005
6,4000,0.09809629032461661,0.21464740924947845,0.09809629032461661,0.03262066918156915,0.12559973900601015,0.03262066918156915,0,2,32,<function linear at 0x7f9d0b99a048>,32,4000,0.0005
7,4000,0.0970550977338956,0.21501552483697575,0.0970550977338956,0.031888536805823695,0.12688871223037526,0.031888536805823695,0,2,18,<function linear at 0x7f9d0b99a048>,8,4000,0.0001
8,3000,0.10102958971355844,0.22357998518493233,0.10102958971355844,0.04975617010840925,0.1589291624598584,0.04975617010840925,0,2,24,<function linear at 0x7f9d0b99a048>,16,3000,0.0001
9,4000,0.09528605663400935,0.21205137846038097,0.09528605663400935,0.021410396006905426,0.10187206849203272,0.021410396006905426,0,1,24,<function linear at 0x7f9d0b99a048>,8,4000,0.0003
10,3000,0.08942664449843835,0.2129570700990872,0.08942664449843835,0.06465408999030874,0.17671154399039382,0.06465408999030874,0,2,24,<function elu at 0x7f9d0b989ae8>,16,3000,0.0001
11,4000,1.1321141813683697,0.8581600320620799,1.1321141813683697,1.0000631613246465,0.80761123410726,1.0000631613246465,0,4,24,<function relu at 0x7f9d0b989d08>,4,4000,0.0005
12,4000,0.08685469703646156,0.19820686200941642,0.08685469703646156,0.01851856368514946,0.09660399866811299,0.01851856368514946,0,1,24,<function relu at 0x7f9d0b989d08>,16,4000,0.0005
13,4000,0.09776919945253162,0.2144487372298879,0.09776919945253162,0.03457509107508902,0.13091460890689138,0.03457509107508902,0,1,18,<function linear at 0x7f9d0b99a048>,32,4000,0.0003
14,3000,0.10568391226642714,0.23278610549104495,0.10568391226642714,0.07067395843944307,0.18737919527595326,0.07067395843944307,0,4,24,<function linear at 0x7f9d0b99a048>,8,3000,0.0001
15,3000,0.0971908624481967,0.21431852924072836,0.0971908624481967,0.03288121089591818,0.12829090887207095,0.03288121089591818,0,1,32,<function linear at 0x7f9d0b99a048>,16,3000,0.0005
16,4000,0.08580626036942475,0.19616161850024397,0.08580626036942475,0.024628128288155894,0.11186685779337156,0.024628128288155894,0,2,32,<function elu at 0x7f9d0b989ae8>,8,4000,0.0001
17,3000,0.09175360836381988,0.20725482678788854,0.09175360836381988,0.03284521195721828,0.13008055636438273,0.03284521195721828,0,2,24,<function elu at 0x7f9d0b989ae8>,32,3000,0.0005
18,6000,0.08731970672063001,0.19227200793469046,0.08731970672063001,0.009267575511614145,0.06524055809792825,0.009267575511614145,0,2,32,<function relu at 0x7f9d0b989d08>,8,6000,0.0003
19,6000,0.08801752053142532,0.19454433986051814,0.08801752053142532,0.011100459054617559,0.0749726657392615,0.011100459054617559,0,4,18,<function elu at 0x7f9d0b989ae8>,8,6000,0.0003
20,3000,0.09829409807685792,0.21699527070278257,0.09829409807685792,0.039453937075400757,0.1401389008356353,0.039453937075400757,0,1,32,<function linear at 0x7f9d0b99a048>,32,3000,0.0005
21,6000,0.08214147078005347,0.18820411682598234,0.08214147078005347,0.018070615013524638,0.0937049299478531,0.018070615013524638,0,1,32,<function relu at 0x7f9d0b989d08>,16,6000,0.0001
22,6000,0.08798142639905449,0.20736491410281715,0.08798142639905449,0.04105096994820288,0.14619492994526687,0.04105096994820288,0,2,18,<function relu at 0x7f9d0b989d08>,32,6000,0.0003
23,4000,0.085589210935465,0.19205554005667919,0.085589210935465,0.01655589713383529,0.09354224179760884,0.01655589713383529,0,1,24,<function relu at 0x7f9d0b989d08>,8,4000,0.0003
